created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-07-05 00:00:00 UTC,9.42,14.72,16.94,50203.89,-62.45,86.73,29.53,12.03
2019-07-06 00:00:00 UTC,5.69,7.88,8.33,51644.00,-58.95,84.24,35.45,7.32,
2019-07-06 00:00:00 UTC,5.69,7.88,8.33,51644.00,-58.95,84.24,35.45,7.32
2019-07-07 00:00:00 UTC,6.37,8.48,8.90,53084.00,-59.28,82.20,32.24,8.47,
2019-07-07 00:00:00 UTC,6.37,8.48,8.90,53084.00,-59.28,82.20,32.24,8.47
2019-07-08 00:00:00 UTC,8.96,12.49,13.33,54522.99,-59.27,83.60,31.77,12.04,
2019-07-08 00:00:00 UTC,8.96,12.49,13.33,54522.99,-59.27,83.60,31.77,12.04
2019-07-09 00:00:00 UTC,6.14,8.09,8.43,55964.00,-59.99,85.39,33.68,8.09,
2019-07-09 00:00:00 UTC,6.14,8.09,8.43,55964.00,-59.99,85.39,33.68,8.09
2019-07-10 00:00:00 UTC,5.43,7.72,8.39,57404.84,-59.55,86.81,32.49,7.29,
2019-07-10 00:00:00 UTC,5.43,7.72,8.39,57404.84,-59.55,86.81,32.49,7.29
2019-07-11 00:00:00 UTC,5.95,8.62,9.40,58844.00,-59.60,86.61,34.22,8.03,
2019-07-11 00:00:00 UTC,5.95,8.62,9.40,58844.00,-59.60,86.61,34.22,8.03
2019-07-12 00:00:00 UTC,3.84,5.69,6.17,60284.00,-59.62,85.69,32.87,5.46,
2019-07-12 00:00:00 UTC,3.84,5.69,6.17,60284.00,-59.62,85.69,32.87,5.46
2019-07-13 00:00:00 UTC,5.96,8.91,9.76,61724.00,-60.70,84.35,33.17,8.36,
2019-07-13 00:00:00 UTC,5.96,8.91,9.76,61724.00,-60.70,84.35,33.17,8.36
2019-07-14 00:00:00 UTC,4.63,6.38,6.72,30371.41,-59.76,82.89,34.54,6.13,
2019-07-14 00:00:00 UTC,4.63,6.38,6.72,30371.41,-59.76,82.89,34.54,6.13
2019-07-15 00:00:00 UTC,5.11,7.72,8.64,1449.00,-59.17,83.23,31.99,7.09,
2019-07-15 00:00:00 UTC,5.11,7.72,8.64,1449.00,-59.17,83.23,31.99,7.09
2019-07-16 00:00:00 UTC,8.33,11.15,11.63,2889.00,-59.81,84.96,32.78,11.15,
2019-07-16 00:00:00 UTC,8.33,11.15,11.63,2889.00,-59.81,84.96,32.78,11.15
2019-07-17 00:00:00 UTC,8.22,11.30,11.87,4329.00,-60.65,85.50,33.33,11.23,
2019-07-17 00:00:00 UTC,8.22,11.30,11.87,4329.00,-60.65,85.50,33.33,11.23
2019-07-18 00:00:00 UTC,3.84,5.99,6.78,5769.00,-61.23,85.06,31.57,5.54,
2019-07-18 00:00:00 UTC,3.84,5.99,6.78,5769.00,-61.23,85.06,31.57,5.54
2019-07-19 00:00:00 UTC,3.44,4.97,5.36,7209.00,-61.00,83.59,38.24,4.44,
2019-07-19 00:00:00 UTC,3.44,4.97,5.36,7209.00,-61.00,83.59,38.24,4.44
2019-07-20 00:00:00 UTC,2.72,4.30,4.91,8450.45,-60.78,83.88,37.97,4.00,
2019-07-20 00:00:00 UTC,2.72,4.30,4.91,8450.45,-60.78,83.88,37.97,4.00
2019-07-21 00:00:00 UTC,2.49,3.59,3.94,320.80,-61.89,84.41,35.57,3.59,
2019-07-21 00:00:00 UTC,2.49,3.59,3.94,320.80,-61.89,84.41,35.57,3.59
2019-07-22 00:00:00 UTC,4.56,6.94,7.88,759.00,-60.09,86.88,39.49,6.31,
2019-07-22 00:00:00 UTC,4.56,6.94,7.88,759.00,-60.09,86.88,39.49,6.31
2019-07-23 00:00:00 UTC,6.01,7.99,8.46,2199.00,-59.48,90.19,34.78,7.99,
2019-07-23 00:00:00 UTC,6.01,7.99,8.46,2199.00,-59.48,90.19,34.78,7.99
2019-07-24 00:00:00 UTC,8.06,11.01,11.55,3639.00,-60.56,90.91,35.14,11.01,
2019-07-24 00:00:00 UTC,8.06,11.01,11.55,3639.00,-60.56,90.91,35.14,11.01
2019-07-25 00:00:00 UTC,4.06,5.61,5.98,5079.00,-63.15,91.30,32.78,5.61,
2019-07-25 00:00:00 UTC,4.06,5.61,5.98,5079.00,-63.15,91.30,32.78,5.61
